gene,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41
EGFR,MUT,MUT,MUT,,AMP,FUS,FUS,MUT,MUT,MUT,MUT,AMP,DEL,FUS,AMP,MUT,MUT,AMP,MUT,,MUT,FUS,,MUT,AMP,MUT,,AMP,AMP,AMP,AMP,MUT,,MUT,MUT,,,,DEL,,
TP53,MUT,AMP,DEL,DEL,,FUS,MUT,,DEL,AMP,,,,DEL,,MUT,AMP,MUT,MUT,MUT,DEL,MUT,,,MUT,MUT,,,MUT,FUS,MUT,,,MUT,MUT,DEL,MUT,,AMP,FUS,AMP
MYC,AMP,FUS,DEL,,,DEL,MUT,MUT,,,MUT,,,MUT,MUT,MUT,,AMP,MUT,FUS,,AMP,,MUT,MUT,AMP,MUT,DEL,FUS,AMP,,,DEL,DEL,FUS,FUS,AMP,,,AMP,
PTEN,MUT,,MUT,MUT,AMP,,MUT,DEL,DEL,,DEL,,AMP,AMP,,MUT,MUT,MUT,MUT,,,,,,DEL,MUT,MUT,DEL,MUT,DEL,,,,AMP,MUT,,,,AMP,MUT,AMP
BRCA1,MUT,,AMP,,MUT,MUT,,,MUT,DEL,,,MUT,DEL,MUT,,MUT,MUT,,,AMP,DEL,,MUT,AMP,,,DEL,,,,MUT,FUS,,,MUT,MUT,FUS,,MUT,AMP
BRCA2,FUS,MUT,,,MUT,,DEL,,FUS,MUT,,,MUT,,,MUT,,,DEL,DEL,,,AMP,AMP,,AMP,,,,MUT,,MUT,,MUT,,MUT,MUT,MUT,MUT,AMP,
PIK3CA,MUT,,,,,,,AMP,,MUT,DEL,,DEL,,,,,,DEL,MUT,AMP,DEL,MUT,AMP,DEL,,DEL,,MUT,AMP,,,,FUS,,DEL,MUT,,DEL,MUT,MUT
RB1,AMP,,MUT,,,,,FUS,AMP,MUT,FUS,,FUS,,,,,MUT,,,MUT,,,,MUT,MUT,,,MUT,AMP,FUS,,,,,,,MUT,MUT,,DEL
AKT1,,AMP,,MUT,,,,MUT,AMP,MUT,,MUT,AMP,,MUT,MUT,DEL,,,,MUT,,FUS,DEL,DEL,,,,,,,,,MUT,,MUT,,,,,
KRAS,,,MUT,,,FUS,,,,,,AMP,,,FUS,,,MUT,,,AMP,,AMP,MUT,,AMP,DEL,MUT,MUT,,,,,,MUT,MUT,,MUT,,MUT,
MTOR,MUT,,,,,,,,,MUT,,DEL,,,,MUT,,AMP,,,,FUS,MUT,,,AMP,,,MUT,,MUT,DEL,,DEL,,,DEL,,MUT,MUT,
ZNF140,MUT,,,,,,,MUT,,,MUT,MUT,,,MUT,,MUT,MUT,,MUT,,,,,,,MUT,,,,,,MUT,MUT,,MUT,,,,,MUT
CCND1,AMP,MUT,,,AMP,MUT,,,MUT,MUT,,,,,,,,MUT,,,,,,,FUS,DEL,,,,MUT,,,,,,,,,DEL,MUT,
ZNF171,MUT,,MUT,,,,,,,,MUT,,,,,,,,MUT,MUT,,,MUT,,,MUT,MUT,,,,,,,,,,,MUT,,MUT,MUT
ZNF096,,,,MUT,,,,,,MUT,,,,MUT,MUT,,,,,,,MUT,,MUT,,,MUT,,,MUT,MUT,MUT,,,,,,,,MUT,
CDKN2A,,,,,MUT,,,AMP,,FUS,,,,,,MUT,,MUT,,,,,,,AMP,,,MUT,,,,DEL,,MUT,,,,,MUT,,DEL
ZNF042,MUT,,,,MUT,MUT,,,,,,,,,,,,,,,,,,,MUT,MUT,,MUT,,,,,,,MUT,,MUT,MUT,,,MUT
ZNF089,MUT,,,,,,,,MUT,,,MUT,MUT,,,,,,,,MUT,,MUT,,,,,,MUT,,,,,,MUT,,,,,MUT,MUT
ZNF108,MUT,,,,,,,,,,MUT,,,,MUT,,,,MUT,,MUT,,MUT,,MUT,,,,,,,,,,,MUT,,MUT,MUT,,
ZNF051,MUT,MUT,MUT,,,,,,MUT,,MUT,,,,MUT,,,,,,,,,,,,MUT,,,,,MUT,,,,,MUT,,,,MUT
